id_transfermarkt,canonical_name,nationality,birth_date,position,competition,team_name,team_slug,team_id_tm,season,source
290249,Mauro Arambarri,Uruguay,1995-09-30,Mediocentro,La Liga,Getafe CF,fc-getafe,3709,2025,transfermarkt
291417,Ferland Mendy,Francia,1995-06-08,Lateral izquierdo,La Liga,Real Madrid CF,real-madrid,418,2025,transfermarkt
293169,Josip Brekalo,Croacia,1998-06-23,,La Liga,Real Oviedo,real-oviedo,2497,2025,transfermarkt
293385,Dani Olmo,España,1998-05-07,Mediocentro ofensivo,La Liga,FC Barcelona,fc-barcelona,131,2025,transfermarkt
293388,Oriol Rey,España,1998-02-25,Pivote,La Liga,Levante UD,ud-levante,3368,2025,transfermarkt
297070,Hamari Traoré,Malí,1992-01-27,,La Liga,Real Sociedad,real-sociedad-san-sebastian,681,2025,transfermarkt
297194,Iván Villar,España,1997-07-09,Portero,La Liga,RC Celta de Vigo,celta-vigo,940,2025,transfermarkt
298197,Antonio Sivera,España,1996-08-11,Portero,La Liga,Deportivo Alavés,deportivo-alaves,1108,2025,transfermarkt
298575,Kike Barja,España,1997-04-01,Extremo derecho,La Liga,CA Osasuna,ca-osasuna,331,2025,transfermarkt
298583,Eray Cömert,Suiza,1998-02-04,Defensa central,La Liga,Valencia CF,fc-valencia,1049,2025,transfermarkt
298976,Borja Mayoral,España,1997-04-05,Delantero centro,La Liga,Getafe CF,fc-getafe,3709,2025,transfermarkt
300168,Mikel Vesga,España,1993-04-08,Pivote,La Liga,Athletic Club,athletic-bilbao,621,2025,transfermarkt
302371,Toni Martínez,España,1997-06-30,Delantero centro,La Liga,Deportivo Alavés,deportivo-alaves,1108,2025,transfermarkt
303259,Dodi Lukébakio,Bélgica,1997-09-24,,La Liga,Sevilla FC,fc-sevilla,368,2025,transfermarkt
303657,Ionuț Radu,Rumania,1997-05-28,Portero,La Liga,RC Celta de Vigo,celta-vigo,940,2025,transfermarkt
309110,Brais Méndez,España,1997-01-07,Mediocentro ofensivo,La Liga,Real Sociedad,real-sociedad-san-sebastian,681,2025,transfermarkt
