whoscored_match_id,venue_name,manager_home,manager_away,ht_score,ft_score,attendance,referee_id_whoscored,referee_name,start_time
1485252,The Hawthorns,Slaven Bilic,Chris Wilder,1 : 0,1 : 0,,85,Mike Dean,2020-11-28T21:00:00
1485253,Turf Moor,Sean Dyche,Frank Lampard,0 : 1,0 : 3,,150,David Coote,2020-10-31T16:00:00
1485254,London Stadium,David Moyes,Dean Smith,1 : 1,2 : 1,,133,Peter Bankes,2020-11-30T21:00:00
1485255,Craven Cottage,Scott Parker,Slaven Bilic,2 : 0,2 : 0,,113,Simon Hooper,2020-11-02T18:30:00
1485256,Villa Park,Dean Smith,Steve Bruce,2 : 0,2 : 0,,113,Simon Hooper,2021-01-23T21:00:00
1485257,Elland Road,Marcelo Bielsa,Brendan Rodgers,0 : 2,1 : 4,,107,Andre Marriner,2020-11-02T21:00:00
1485258,Amex Stadium,Graham Potter,Ralph Hasenhüttl,1 : 1,1 : 2,2000.0,150,David Coote,2020-12-07T21:00:00
1485259,Anfield,Jürgen Klopp,David Moyes,1 : 1,2 : 1,,120,Kevin Friend,2020-10-31T18:30:00
1485260,Turf Moor,Sean Dyche,Carlo Ancelotti,1 : 1,1 : 1,,99,Anthony Taylor,2020-12-05T13:30:00
1485261,Old Trafford,Ole Gunnar Solskjær,Mikel Arteta,0 : 0,0 : 1,,85,Mike Dean,2020-11-01T17:30:00
1485262,Stamford Bridge,Frank Lampard,Marcelo Bielsa,1 : 1,3 : 1,2000.0,120,Kevin Friend,2020-12-05T21:00:00
1485263,St. James' Park,Steve Bruce,Carlo Ancelotti,0 : 0,2 : 1,,81,Stuart Attwell,2020-11-01T15:00:00
1485264,Anfield,Jürgen Klopp,Nuno Espírito Santo,1 : 0,4 : 0,2000.0,104,Craig Pawson,2020-12-06T20:15:00
1485265,Bramall Lane,Chris Wilder,Josep Guardiola,0 : 1,0 : 1,,89,Michael Oliver,2020-10-31T13:30:00
1485266,Etihad Stadium,Josep Guardiola,Scott Parker,2 : 0,2 : 0,,102,Jonathan Moss,2020-12-05T16:00:00
1485267,Tottenham Hotspur Stadium,José Mourinho,Graham Potter,1 : 0,2 : 1,,131,Graham Scott,2020-11-01T20:15:00
1485268,Bramall Lane,Chris Wilder,Brendan Rodgers,1 : 1,1 : 2,,81,Stuart Attwell,2020-12-06T15:15:00
1485269,Molineux Stadium,Nuno Espírito Santo,Roy Hodgson,2 : 0,2 : 0,,86,Martin Atkinson,2020-10-30T21:00:00
1485270,Tottenham Hotspur Stadium,José Mourinho,Mikel Arteta,2 : 0,2 : 0,2000.0,86,Martin Atkinson,2020-12-06T17:30:00
1485271,Emirates Stadium,Mikel Arteta,Dean Smith,0 : 1,0 : 3,,86,Martin Atkinson,2020-11-08T20:15:00
1485272,The Hawthorns,Slaven Bilic,Roy Hodgson,1 : 1,1 : 5,,95,Paul Tierney,2020-12-06T13:00:00
1485273,Amex Stadium,Graham Potter,Sean Dyche,0 : 0,0 : 0,,85,Mike Dean,2020-11-06T18:30:00
1485274,London Stadium,David Moyes,Ole Gunnar Solskjær,1 : 0,1 : 3,2000.0,107,Andre Marriner,2020-12-05T18:30:00
1485275,Stamford Bridge,Frank Lampard,Chris Wilder,2 : 1,4 : 1,,102,Jonathan Moss,2020-11-07T18:30:00
1485276,Emirates Stadium,Mikel Arteta,Sean Dyche,0 : 0,0 : 1,2000.0,131,Graham Scott,2020-12-13T20:15:00
