id_sofascore,id_understat,id_whoscored,attendance,temperature_c,humidity_pct,precipitation_mm,wind_speed_kmh,weather_code
9008476,,,,11.1,86,0.0,18.1,51
8966315,14170,,,10.9,81,0.0,7.0,2
9008462,,,,28.8,37,0.0,17.7,51
8966328,14168,,,15.6,57,0.0,11.0,0
9008748,,,,12.6,100,2.5,16.7,61
8966268,14166,,,13.1,93,0.3,7.7,53
8966358,14169,,,15.0,55,0.0,12.3,0
9008465,,,,9.7,89,0.0,4.8,2
8970314,14134,1495329,,13.5,85,0.0,3.3,2
9006590,,,,16.1,61,0.0,8.6,0
9033914,,,,10.6,96,5.0,5.4,63
9033923,,,,10.1,85,1.3,13.2,61
9033917,,,,14.7,89,1.3,27.5,61
9033912,,,,10.1,96,0.2,11.4,51
9033919,,,,22.2,86,0.0,14.2,2
9033920,,,,10.9,100,6.0,8.4,63
8966266,14165,1492319,,16.4,96,49.1,24.9,63
9033924,,,,14.5,91,1.3,25.9,61
8966270,14164,,,11.6,60,0.0,15.2,0
8966351,14171,,,20.4,57,0.0,15.8,0
9033921,,,,20.6,62,0.0,12.4,0
9033918,,,,8.2,83,0.4,13.4,53
9033916,,,,6.9,85,0.2,7.2,53
9033908,,,,13.9,94,0.0,12.6,51
9033922,,,,18.0,84,0.1,22.0,51
9033909,,,,11.7,96,1.9,18.2,61
9033926,,,,16.4,95,26.9,22.5,63
9033911,,,,10.8,95,2.9,6.7,61
8966313,,,,18.4,52,0.0,10.7,0
8805142,,1469857,,13.8,83,0.7,31.5,53
8953853,,1490890,,8.4,97,4.6,8.7,63
8833427,15158,1481018,,13.3,84,0.0,25.2,2
8738559,15806,1463977,,10.0,97,0.1,5.9,51
8953798,,1490889,,8.4,97,4.6,8.7,63
8953834,,1490888,,14.6,88,1.1,10.8,61
8896898,14469,1485218,,10.5,98,41.2,12.7,63
8833426,15160,1481174,,11.0,92,0.3,19.7,53
8966323,14816,,,8.0,73,0.0,9.7,0
8966306,14824,,,13.9,54,0.0,11.6,0
8970350,15447,1495443,,11.8,82,3.7,17.9,63
8896897,14472,1485221,,11.6,98,43.5,12.5,63
8805168,,1469978,,9.2,93,0.1,18.0,51
