whoscored_match_id,season,match_date,attendance,competition
1914231,2025/26,2026-05-14,45850,La Liga
1914232,2025/26,2026-04-22,31464,La Liga
1914233,2025/26,2026-05-13,17325,La Liga
1914234,2025/26,2026-05-02,19123,La Liga
1914235,2025/26,2026-05-14,62774,La Liga
1914236,2025/26,2026-05-03,57578,La Liga
1914237,2025/26,2026-05-17,45105,La Liga
1914238,2025/26,2026-05-03,15401,La Liga
1914239,2025/26,2026-05-17,64396,La Liga
1914240,2025/26,2026-05-03,31733,La Liga
1914241,2025/26,2026-05-17,56868,La Liga
1914242,2025/26,2026-05-03,7693,La Liga
1914243,2025/26,2026-05-17,28371,La Liga
1914244,2025/26,2026-05-01,13886,La Liga
1914245,2025/26,2026-05-17,22958,La Liga
1914246,2025/26,2026-05-17,12836,La Liga
1914247,2025/26,2026-05-02,45889,La Liga
1914248,2025/26,2026-05-17,28466,La Liga
1914249,2025/26,2026-05-17,21111,La Liga
1914250,2025/26,2026-05-17,21186,La Liga
1914251,2025/26,2026-05-17,40844,La Liga
1914252,2025/26,2026-05-23,17276,La Liga
1914253,2025/26,2026-05-23,45318,La Liga
1914254,2025/26,2026-05-23,20901,La Liga
1914255,2025/26,2026-05-23,28012,La Liga
1914256,2025/26,2026-05-23,70398,La Liga
1914257,2025/26,2026-05-24,18682,La Liga
1914258,2025/26,2026-05-23,46457,La Liga
1914259,2025/26,2026-05-23,14018,La Liga
1914260,2025/26,2026-05-23,8566,La Liga
1914261,2025/26,2026-05-23,19311,La Liga
