understat_player_id,player_name,team_name,competition,season,source
8378,Malick Thiaw,Newcastle United,Premier League,2025_2026,understat
8379,Alexis Mac Allister,Liverpool,Premier League,2025_2026,understat
8384,Armando Broja,Burnley,Premier League,2025_2026,understat
8393,Omar Marmoush,Manchester City,Premier League,2025_2026,understat
8397,Florian Wirtz,Liverpool,Premier League,2025_2026,understat
843,James Ward-Prowse,West Ham,Premier League,2025_2026,understat
8430,Chris Richards,Crystal Palace,Premier League,2025_2026,understat
8476,Jarrad Branthwaite,Everton,Premier League,2025_2026,understat
8489,Jorge Cuenca,Fulham,Premier League,2025_2026,understat
8497,Cole Palmer,Chelsea,Premier League,2025_2026,understat
8537,Dennis Cirkin,Sunderland,Premier League,2025_2026,understat
8635,Sven Botman,Newcastle United,Premier League,2025_2026,understat
8640,Adrien Truffert,Bournemouth,Premier League,2025_2026,understat
8651,Enzo Le Fée,Sunderland,Premier League,2025_2026,understat
8662,Dan Ndoye,Nottingham Forest,Premier League,2025_2026,understat
87,Joelinton,Newcastle United,Premier League,2025_2026,understat
8700,Xavi Simons,Tottenham,Premier League,2025_2026,understat
8706,Eberechi Eze,Crystal Palace,Premier League,2025_2026,understat
8717,Pascal Struijk,Leeds,Premier League,2025_2026,understat
8720,Jack Harrison,Leeds,Premier League,2025_2026,understat
8780,Joël Veltman,Brighton,Premier League,2025_2026,understat
8808,Wataru Endo,Liverpool,Premier League,2025_2026,understat
8831,Iyenoma Destiny Udogie,Tottenham,Premier League,2025_2026,understat
8845,Hee-Chan Hwang,Wolverhampton Wanderers,Premier League,2025_2026,understat
885,Kyle Walker-Peters,West Ham,Premier League,2025_2026,understat
8853,Maxence Lacroix,Crystal Palace,Premier League,2025_2026,understat
8859,Mikkel Damsgaard,Brentford,Premier League,2025_2026,understat
8864,Matthew Cash,Aston Villa,Premier League,2025_2026,understat
8865,Ollie Watkins,Aston Villa,Premier League,2025_2026,understat
8868,Liam Delap,Chelsea,Premier League,2025_2026,understat
8875,Tolu Arokodare,Wolverhampton Wanderers,Premier League,2025_2026,understat
8920,Dilane Bakwa,Nottingham Forest,Premier League,2025_2026,understat
8940,Antonee Robinson,Fulham,Premier League,2025_2026,understat
8941,Jacob Ramsey,Newcastle United,Premier League,2025_2026,understat
8942,Aaron Hickey,Brentford,Premier League,2025_2026,understat
8961,Rúben Dias,Manchester City,Premier League,2025_2026,understat
8969,Florentino Luís,Burnley,Premier League,2025_2026,understat
8981,Jéremy Doku,Manchester City,Premier League,2025_2026,understat
8986,Omar Alderete,Sunderland,Premier League,2025_2026,understat
8995,Hugo Ekitike,Liverpool,Premier League,2025_2026,understat
900,Adama Traoré,Fulham,Premier League,2025_2026,understat
9017,Malo Gusto,Chelsea,Premier League,2025_2026,understat
9021,Pape Sarr,Tottenham,Premier League,2025_2026,understat
9024,Yeremi Pino,Crystal Palace,Premier League,2025_2026,understat
9040,Conor Gallagher,Tottenham,Premier League,2025_2026,understat
910,Harrison Reed,Fulham,Premier League,2025_2026,understat
9105,Radu Dragusin,Tottenham,Premier League,2025_2026,understat
9154,Elliot Anderson,Nottingham Forest,Premier League,2025_2026,understat
9156,Kevin Schade,Brentford,Premier League,2025_2026,understat
9205,Jayden Bogle,Leeds,Premier League,2025_2026,understat
925,Patrick Roberts,Sunderland,Premier League,2025_2026,understat
9307,Iliman Ndiaye,Everton,Premier League,2025_2026,understat
9328,Jeremie Frimpong,Liverpool,Premier League,2025_2026,understat
934,Axel Tuanzebe,Burnley,Premier League,2025_2026,understat
9451,Chimuanya Ugochukwu,Burnley,Premier League,2025_2026,understat
9453,Moisés Caicedo,Chelsea,Premier League,2025_2026,understat
9487,Maxime Estève,Burnley,Premier League,2025_2026,understat
9492,Crysencio Summerville,West Ham,Premier League,2025_2026,understat
9501,Fabio Carvalho,Brentford,Premier League,2025_2026,understat
9512,Valentino Livramento,Newcastle United,Premier League,2025_2026,understat
9524,Anthony Elanga,Newcastle United,Premier League,2025_2026,understat
9554,Tim Iroegbunam,Everton,Premier League,2025_2026,understat
9556,William Osula,Newcastle United,Premier League,2025_2026,understat
9558,Hannibal Mejbri,Burnley,Premier League,2025_2026,understat
9662,Dango Ouattara,Brentford,Premier League,2025_2026,understat
9667,Amadou Onana,Aston Villa,Premier League,2025_2026,understat
