whoscored_match_id,venue_name,manager_home,manager_away,ht_score,ft_score,attendance,referee_id_whoscored,referee_name,start_time
1734769,Nuevo Los Cármenes,Paco López,Xavier Hernández Creus,2 : 1,2 : 2,20354,222,César Soto Grado,2023-10-08T21:00:00
1734770,Santiago Bernabéu,Carlo Ancelotti,Jagoba Arrasate,1 : 0,4 : 0,70864,3234,Guillermo Cuadra Fernández,2023-10-07T16:15:00
1734771,Ramón Sánchez-Pizjuán,José Luis Mendilibar,Francisco Rodríguez,0 : 2,2 : 2,35817,307,Isidro Díaz de Mera Escuderos,2023-10-07T21:00:00
1734772,Estadio de la Cerámica,José Rojo Martin,Francisco Javier García Pimienta,0 : 1,1 : 2,16249,296,Alejandro Muñiz Ruiz,2023-10-08T14:00:00
1734773,Estadio Gran Canaria,Francisco Javier García Pimienta,Francisco Rodríguez,0 : 0,0 : 1,24548,260,Javier Iglesias Villanueva,2023-10-22T14:00:00
1734774,Municipal de Montilivi,Miguel Ángel Sánchez,Gaizka Garitano,3 : 2,5 : 2,12884,266,Miguel Ángel Ortiz Arias,2023-10-22T16:15:00
1734775,Estadi Olímpic Lluís Companys,Xavier Hernández Creus,Ernesto Valverde,0 : 0,1 : 0,38194,206,Juan Martínez Munuera,2023-10-22T21:00:00
1734776,Balaídos,Rafael Benítez,Diego Simeone,0 : 1,0 : 3,20282,3234,Guillermo Cuadra Fernández,2023-10-21T21:00:00
1734777,Estadio Coliseum,José Bordalás,Manuel Pellegrini,1 : 1,1 : 1,13926,222,César Soto Grado,2023-10-21T16:15:00
1734778,Mestalla,Rubén Baraja,Sergio González,2 : 0,2 : 0,41647,2917,Pablo González Fuertes,2023-10-23T21:00:00
1734779,Reale Arena,Imanol Alguacil,Javier Aguirre,0 : 0,1 : 0,31279,4159,Jorge Figueroa Vázquez,2023-10-21T14:00:00
1734780,Power Horse Stadium,Gaizka Garitano,Luis García,0 : 1,0 : 3,13817,266,Miguel Ángel Ortiz Arias,2024-01-26T21:00:00
1734781,Balaídos,Claudio Giráldez,Ernesto Valverde,0 : 1,2 : 1,21301,2976,Victor García Verdura,2024-05-15T22:00:00
1734782,Estadi Mallorca Son Moix,Javier Aguirre,Alexander Medina,0 : 0,1 : 0,16477,169,Ricardo de Burgos Bengoetxea,2024-03-16T14:00:00
1734783,San Mamés,Ernesto Valverde,Javier Aguirre,2 : 0,4 : 0,47061,4159,Jorge Figueroa Vázquez,2024-02-02T21:00:00
