whoscored_match_id,whoscored_event_id,whoscored_player_id,whoscored_team_id,player_name,event_type,period,minute,second,x,y,end_x,end_y,outcome,season,data_source,source
1901061,2839339569.0,454908.0,300,,Pass,FirstHalf,5,8.0,0.448,0.464,0.544,0.451,Successful,2025/26,whoscored,whoscored
1901061,2839339573.0,129903.0,300,,BallTouch,FirstHalf,5,9.0,0.531,0.465,,,Unsuccessful,2025/26,whoscored,whoscored
1901061,2839339631.0,495906.0,777,,Pass,FirstHalf,5,10.0,0.454,0.464,0.476,0.188,Successful,2025/26,whoscored,whoscored
1901061,2839339637.0,330505.0,777,,Pass,FirstHalf,5,12.0,0.456,0.225,0.474,0.237,Unsuccessful,2025/26,whoscored,whoscored
1901061,2839339673.0,403913.0,300,,BlockedPass,FirstHalf,5,12.0,0.512,0.807,,,Successful,2025/26,whoscored,whoscored
1901061,2839339677.0,129903.0,300,,BallRecovery,FirstHalf,5,14.0,0.478,0.715,,,Successful,2025/26,whoscored,whoscored
1901061,2839339703.0,129903.0,300,,Pass,FirstHalf,5,15.0,0.478,0.709,0.462,0.806,Successful,2025/26,whoscored,whoscored
1901061,2839339765.0,388493.0,300,,Pass,FirstHalf,5,18.0,0.448,0.837,0.517,0.911,Successful,2025/26,whoscored,whoscored
1901061,2839339775.0,403913.0,300,,Pass,FirstHalf,5,19.0,0.544,0.918,0.78,0.809,Unsuccessful,2025/26,whoscored,whoscored
1901061,2839339809.0,572173.0,777,,BallRecovery,FirstHalf,5,21.0,0.174,0.181,,,Successful,2025/26,whoscored,whoscored
1901061,2839339835.0,572173.0,777,,Pass,FirstHalf,5,22.0,0.174,0.181,0.063,0.459,Successful,2025/26,whoscored,whoscored
1901061,2839340023.0,326640.0,777,,Pass,FirstHalf,5,23.0,0.07,0.49,0.118,0.699,Successful,2025/26,whoscored,whoscored
1901061,2839340067.0,423449.0,777,,Pass,FirstHalf,5,31.0,0.12,0.699,0.1,0.543,Successful,2025/26,whoscored,whoscored
1901061,2839340155.0,326640.0,777,,Pass,FirstHalf,5,36.0,0.15,0.49,0.608,0.387,Successful,2025/26,whoscored,whoscored
1901061,2839340163.0,141729.0,777,,Aerial,FirstHalf,5,37.0,0.6,0.331,,,Successful,2025/26,whoscored,whoscored
1901061,2839340149.0,100962.0,300,,Aerial,FirstHalf,5,37.0,0.4,0.669,,,Unsuccessful,2025/26,whoscored,whoscored
1901061,2839340185.0,141729.0,777,,Pass,FirstHalf,5,38.0,0.608,0.387,0.656,0.48,Successful,2025/26,whoscored,whoscored
1901061,2839340193.0,495906.0,777,,TakeOn,FirstHalf,5,39.0,0.677,0.471,,,Unsuccessful,2025/26,whoscored,whoscored
1901061,2839340213.0,454908.0,300,,Tackle,FirstHalf,5,39.0,0.323,0.529,,,Successful,2025/26,whoscored,whoscored
1901061,2839340223.0,454908.0,300,,BallRecovery,FirstHalf,5,41.0,0.289,0.544,,,Successful,2025/26,whoscored,whoscored
1901061,2839340299.0,454908.0,300,,Pass,FirstHalf,5,41.0,0.292,0.52,0.533,0.301,Successful,2025/26,whoscored,whoscored
1901061,2839340305.0,386390.0,300,,Pass,FirstHalf,5,43.0,0.531,0.3,0.631,0.347,Successful,2025/26,whoscored,whoscored
1901061,2839340325.0,302650.0,300,,BallTouch,FirstHalf,5,45.0,0.607,0.359,,,Unsuccessful,2025/26,whoscored,whoscored
